104,WORD,WORD_NOUN,KATAKANA,Genki 1-1,,-,コンピューター,,konpyuutaa,komputer,,
105,WORD,WORD_NOUN,HIRAGANA,Genki 1-1,,人類学,じんるいがく,,jinruigaku,antropologia,,
106,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki 1-12",,政治,せいじ,,seiji,polityka,,
107,WORD,WORD_NOUN,KATAKANA,Genki 1-1,,-,ビジネス,,bijinesu,biznes,,
108,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki kanji 1-7",,文学,ぶんがく,,bungaku,literatura,,
109,WORD,WORD_NOUN,HIRAGANA,Genki 1-1,,歴史,れきし,,rekishi,historia,,
110,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki 1-8
Genki kanji 1-8",,仕事,しごと,,shigoto,praca,,
111,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki 1-10
Genki kanji 2-14",,医者,いしゃ,,isha,lekarz,,
112,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki 1-8
Genki kanji 1-7
Genki kanji 1-8",,会社員,かいしゃいん,,kaishain,pracownik biurowy,,
113,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki kanji 1-7",,高校生,こうこうせい,,koukousei,licealista,,
114,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki 1-11
Genki kanji 2-17",,主婦,しゅふ,,shufu,Pani domu,,
115,WORD,WORD_NOUN,HIRAGANA,Genki 1-1,,大学院生,だいがくいんせい,,daigakuinsei,student,"studia podyplomowe, magisterskie",
116,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki 1-8
Genki kanji 1-6",,大学生,だいがくせい,,daigakusei,student,,
117,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki 1-11
Genki 2-13",,弁護士,べんごし,,bengoshi,"prawnik
adwokat",,
118,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki 1-7
Genki kanji 1-7",,お母さん,おかあさん,,okaasan,matka,spoza swojej rodziny lub własna rodzina - nieformalnie,
119,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki 1-7
Genki kanji 1-7",,お父さん,おとうさん,,otousan,ojciec,spoza swojej rodziny lub własna rodzina - nieformalnie,
120,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki 1-7",,お姉さん,おねえさん,,oneesan,siostra,"spoza swojej rodziny lub własna rodzina, nieformalnie, starsza",
121,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki 1-7",,お兄さん,おにいさん,,oniisan,brat,"spoza swojej rodziny lub własna rodzina, nieformalnie, starszy",
122,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki 1-7",,妹,いもうと,,imouto,siostra,"własna rodzina, młodsza",
123,WORD,WORD_NOUN,HIRAGANA,"Genki 1-1
Genki 1-7",,弟,おとうと,,otouto,brat,"własna rodzina, młodszy",
124,WORD,WORD_THAT_POINT,HIRAGANA,Genki 1-2,,-,これ,,kore,ten,blisko mówcy,
125,WORD,WORD_THAT_POINT,HIRAGANA,Genki 1-2,,-,それ,,sore,ten,blisko osoby docelowej,
126,WORD,WORD_THAT_POINT,HIRAGANA,Genki 1-2,,-,あれ,,are,tam,daleko od mówcy i osoby docelowej,
127,WORD,WORD_ASK,HIRAGANA,Genki 1-2,,-,どれ,,dore,który,,
128,WORD,WORD_THAT_POINT,HIRAGANA,Genki 1-2,,-,この,,kono,ten,blisko mówcy (z rzeczownikiem),
129,WORD,WORD_THAT_POINT,HIRAGANA,Genki 1-2,,-,その,,sono,ten,blisko osoby docelowej (z rzeczownikiem),
130,WORD,WORD_THAT_POINT,HIRAGANA,"Genki 1-1
Genki 1-2",,-,あの,,ano,tam,daleko od mówcy i osoby docelowej (z rzeczownikiem),
131,WORD,WORD_ASK,HIRAGANA,Genki 1-2,,-,どの,,dono,który,z rzeczownikiem,
132,WORD,WORD_THAT_POINT,HIRAGANA,Genki 1-2,,-,ここ,,koko,tam,"miejsce, blisko mówcy",
133,WORD,WORD_THAT_POINT,HIRAGANA,Genki 1-2,,-,そこ,,soko,tam,"miejsce, blisko osoby docelowej",
134,WORD,WORD_THAT_POINT,HIRAGANA,Genki 1-2,,-,あそこ,,asoko,tam,"miejsce, daleko od mówcy i osoby docelowej",
135,WORD,WORD_ASK,HIRAGANA,Genki 1-2,,-,どこ,,doko,gdzie,miejsce,
136,WORD,WORD_ASK,HIRAGANA,Genki 1-2,,-,だれ,,dare,kto,,
137,WORD,WORD_ADJECTIVE_I,HIRAGANA,Genki 1-2,,美味しい,おいしい,,oishii,smaczne,,
138,WORD,WORD_NOUN,HIRAGANA,"Genki 1-2
Genki kanji 2-15",,魚,さかな,,sakana,ryba,,
139,WORD,WORD_NOUN,HIRAGANA_KATAKANA,Genki 1-2,,豚カツ,とんカツ,,tonkatsu,kotlet wieprzowy,,
140,WORD,WORD_NOUN,HIRAGANA,"Genki 1-2
Genki kanji 2-13",,肉,にく,,niku,mięso,,
141,WORD,WORD_NOUN,KATAKANA,Genki 1-2,,-,メニュー,,menyuu,menu,,
142,WORD,WORD_NOUN,HIRAGANA,"Genki 1-2
Genki kanji 2-17",,野菜,やさい,,yasai,warzywa,,
143,WORD,WORD_NOUN,HIRAGANA,Genki 1-2,,鉛筆,えんぴつ,,enpitsu,ołówek,,
144,WORD,WORD_NOUN,HIRAGANA,Genki 1-2,,傘,かさ,,kasa,parasolka,,
145,WORD,WORD_NOUN,HIRAGANA,Genki 1-2,,鞄,かばん,,kaban,torba,,
146,WORD,WORD_NOUN,HIRAGANA,Genki 1-2,,靴,くつ,,kutsu,buty,,
147,WORD,WORD_NOUN,HIRAGANA,Genki 1-2,,財布,さいふ,,saifu,portfel,,
148,WORD,WORD_NOUN,KATAKANA,Genki 1-2,,-,ジーンズ,,jiinzu,jeansy,,
149,WORD,WORD_NOUN,HIRAGANA,"Genki 1-2
Genki kanji 1-9",,辞書,じしょ,,jisho,słownik,,
150,WORD,WORD_NOUN,HIRAGANA,"Genki 1-2
Genki kanji 1-8
Genki kanji 1-10
Genki kanji 2-15",,自転車,じてんしゃ,,jitensha,rower,,
151,WORD,WORD_NOUN,HIRAGANA,"Genki 1-2
Genki kanji 1-8",,新聞,しんぶん,,shinbun,gazeta,,
