1509,"10581464
4920"
1511,"591964
4922"
1512,"600715
4923"
1513,"600722
4924"
1518,"600720
4929"
1519,"600719
4930"
1520,"600718
4931"
1521,"3634741
350797
4856416
4932"
1522,"600717
199105
4933"
1527,"3634745
4938
2925366"
1528,"600724
4939"
1529,"3634744
4940"
1539,"10594022
4949"
1540,"528956
4950"
1541,"600726
4951"
1542,"10581447
4952"
1543,"3634751
4953
236480"
1544,"3634748
2116046
4954"
1564,"365185
4971
1136595
81557
873964"
1568,"600738
3877888
229362
205971
205547
204792
1056532
9107202
9703324
4974"
1577,"10573076
4981
226193"
1578,"600747
4982"
1579,"600746
3621802
3621704
4983"
1585,"600742
4989
234128"
1586,"600740
230087"
1587,"1220888
4991
1066131"
1589,"600751
4993"
1591,"3004462
4995"
1592,"3004463
4996"
1594,"355541
5000
149534
149526
2423526
149524"
1615,"10545332
5021"
1616,"12351024
11294950
5022"
1617,"600761
5023"
1619,"600769
770959
5025"
1621,"10545333
5027"
1622,"356964
234175
5028
187880
3552884
187850
187725
187711
177425"
1630,"350112
164497
5035"
1644,"6320744
5048"
1647,"526462
5052
200598
200605
159285"
1654,"526469
190514
5058
164889
164856"
1664,"598042
5067
173919"
1671,"10596959
366544
522196
5074"
1673,"526492
5076"
1689,"526551
5092
9808445
171554"
1705,"2423215
362057
225683
9775149
85918
85915
3495034
473068
5107
85882
11256165
2054328
153150"
1707,"526575
193326
5109"
1710,"10542197
227364
995422
5112
183977
76266"
1712,"349454
856052
123871
842643
123868
123866
3590724
123823
5114"
1717,"350066
5119
1116820
183167
183166"
1718,"8608836
569981
349104
10574448
5120"
1719,"10585006
348676
205206
870242
1056471
5121
13134440
3073523"
1723,"526592
225482
1202223
5125
1202224"
1725,"526597
5127"
1749,"348953
5148"
1754,"352675
227604
5152
3528967
200656
1229075
1771700"
1771,"526720
84066
5165
84033
84039"
1775,"10570884
193013
5167
191063
191062
191061
191060
143294
2257012"
1777,"359970
192255
192249
5168
192254
192253
190335
141428"
1778,"528440
5169
125726"
1779,"526731
5170"
1780,"526734
5171
10901465"
1800,"526785
225624
5097"
1814,"10572390
526803
2999617
3759421
3488406
5184
198563"
1818,"526809
5187
235863"
1837,"352001
404560"
1881,"1604639
404561
5222"
2061,"352978
77232
184522
184520
138774"
2066,"2495896
1599043
529699
187727
187726
2774232
187696
11099299
2303034
5271
187522
178792"
2077,"403757
5278
4705666
4705664
494184"
2089,"2397164
138769"
2096,"3656766
349174
5282
779007"
2134,"525560
5314"
2136,"922411
227063
1829669
10587979
201726
11906435
10587977
201725
83906"
2175,"5336310
13205183
701209
2190027
10832947
5955970
5955969
5955968
136177
1483566
536720
121604"
2191,"2687454
138763"
2226,"531851
222642
2416431
137039"
2242,"3148186
194302"
2311,"694369
10157836
961432
152345"
2322,"10570169
364536
3474762
137693"
